Year,Company,Category,Market Cap,Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debtor Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,,,,
2020,Google,IT,1179400,182527,97795,40269,2.93,54921,222544,65124,-32773,-24408,3.0668,0.0626,18.0949,12.5992,17.0288,22.0619,0.843,20.1422,,,,
2019,Google,IT,917820,161857,89961,34343,2.458,46012,201442,54520,-29491,-23209,3.3741,0.0226,17.0486,12.4472,16.6717,21.2181,0.5566,19.2033,,,,
2018,Google,IT,719630,136819,77270,30736,2.185,36559,177628,47971,-28504,-13179,3.919,0.0226,17.3036,13.2032,16.9214,22.4647,-0.0705,19.5124,,,,
2017,Google,IT,726470,110855,65272,12662,0.9,33093,152502,37091,-31401,-8298,5.1403,0.026,8.3028,6.4178,8.0922,11.4221,-0.151,9.5158,,,,
2016,Google,IT,530840,90272,55134,19478,1.3925,29860,139036,36036,-31165,-8332,6.2908,0.0283,14.0093,11.6289,13.6237,21.577,0.6249,16.3323,,,,
2015,Google,IT,521670,74989,46825,15826,1.142,24423,120331,26572,-23711,-4225,4.6667,0.0434,13.5859,11.0863,13.3643,21.1044,0.3054,16.2481,,,,
2014,Google,IT,354750,66001,40310,14136,1.0285,21475,103860,23024,-21055,-2087,4.6878,0.0504,13.1138,10.5429,12.7185,21.4179,0.0463,16.2814,,,,
2013,Google,IT,371530,55519,33526,12733,0.9395,19342,87309,18659,-13679,-857,4.5817,0.0601,15.0729,11.8644,14.6965,22.9345,-0.2373,18.8671,,,,
2012,Google,IT,230540,46039,28863,10737,0.808,16796,71715,16619,-13056,1229,4.2166,0.0772,16.1096,12.3169,15.4652,23.3215,0.1539,21.512,,,,
2011,Google,IT,207650,37905,24717,9737,0.744,13593,58145,14565,-19041,807,5.9192,0.0723,16.7461,13.4167,15.9281,25.6879,0.3039,19.7822,,,,
2010,Google,IT,188540,29321,18904,8505,0.6578,11777,46241,11081,-10680,3050,4.1579,0.0749,18.3928,14.7016,18.3928,29.0065,-0.1195,21.8407,,,,
2009,Google,IT,195270,23651,14807,6520,0.5103,9836,36004,9316,-8019,233,10.6178,0.0651,18.1091,16.1,18.1091,27.5675,0.6657,21.4997,,,,
2022,Paypal,FinTech,81190,27518,11653,2419,2.09,5154,20274,5813,-3421,-1110,1.2753,0.5138,11.9315,3.073,7.8818,8.7906,0.288,29.2256,,,,
2021,Paypal,FinTech,221570,25371,11921,4169,3.52,5527,21727,5797,-5149,-557,1.2218,0.3705,19.1881,5.4998,14.0012,16.4322,-0.4843,46.6279,,,,
2020,Paypal,FinTech,274410,21454,10001,4202,3.54,4478,20063,6219,-16545,12454,1.3264,0.4455,20.944,5.9705,14.4887,19.5861,1.7623,42.5304,,,,
2019,Paypal,FinTech,127010,17772,7987,2459,2.07,3631,16929,4071,-5742,4187,1.43,0.2933,14.5254,4.7903,11.2314,13.8364,-1.0251,24.7409,,,,
2018,Paypal,FinTech,99090,15451,7189,2057,1.71,2970,15386,5480,821,-1240,1.2725,0.1299,13.3693,4.7471,13.3693,13.3131,2.347,24.852,,,,
2017,Paypal,FinTech,88480,13094,6399,1795,1.47,2932,15994,2531,-4485,4084,1.4279,0.12,11.223,4.4023,11.223,13.7086,-0.5169,15.6264,,,,
2016,Paypal,FinTech,47630,10842,5141,1401,1.15,2310,14712,3158,-5904,2038,1.5246,0.1236,9.5228,4.2322,9.5228,12.922,0.5382,13.417,,,,
2015,Paypal,FinTech,44230,9248,4719,1228,1,2069,13759,2546,-8038,4728,1.5163,0.1311,8.9251,4.2519,8.9251,13.2786,0.0935,13.159,,,,
2014,Paypal,FinTech,43260,8025,4218,419,0.34,1784,8248,2220,-2881,1284,1.3224,0.1325,5.08,1.9118,5.08,5.2212,0.103,8.5458,,,,
2022,American International Group,Bank,46990,56437,20762,10247,13.01,20640,42235,4207,-3626,-676,0.26,0.6435,27.0084,2.1411,16.2446,18.1565,-1.9207,26.6982,,,,
2021,American International Group,Bank,47210,52057,15322,9359,10.82,15382,68912,6279,-3280,-3735,0.25,0.4377,14.5016,1.6646,10.0157,17.9784,6.0658,14.3995,,,,
2020,American International Group,Bank,32620,43736,6912,-5973,-6.88,6821,67199,1038,-6202,5058,0.18,0.5586,-8.7433,-0.9946,-5.5694,-13.6569,3.2256,-8.6802,,,,
2019,American International Group,Bank,44650,49746,11975,3326,3.74,11817,67427,-1807,-5475,7258,0.18,0.5243,6.1561,0.7849,4.0097,6.686,-1.5986,6.1118,,,,
2018,American International Group,Bank,34860,47389,6921,-6,-0.01,6897,57309,-394,-223,1249,0.17,0.6027,0.1797,0.0209,0.1121,-0.0127,7.9685,0.1797,,,,
2017,American International Group,Bank,53560,49520,6849,-6084,-6.54,6435,65708,-7818,14041,-5697,0.12,0.4815,-9.2226,-1.2161,-6.2251,-12.2859,-11.611,-9.2226,,,,
2016,American International Group,Bank,67080,52367,5236,-849,-0.78,4805,76858,3502,3252,-6833,0.13,0.4022,-0.337,-0.052,-0.2403,-1.6213,1.0537,-0.337,,,,
2015,American International Group,Bank,76660,58327,10565,2196,1.65,9958,90210,2877,8462,-11429,0.14,0.3242,2.4631,0.4472,1.8601,3.765,-1.303,2.4631,,,,
2014,American International Group,Bank,78410,64406,19219,7529,5.2,16752,107272,5007,14284,-19788,0.14,0.291,7.0606,1.469,5.469,11.6899,-0.5007,7.0606,,,,
2013,American International Group,Bank,75160,68874,21915,9085,6.13,16922,101081,5865,7099,-11758,0.16,0.4125,8.9117,1.6641,6.3093,13.1908,1.7809,8.9117,,,,
2012,American International Group,Bank,52110,71214,21825,3438,2.04,19327,98669,3676,16612,-20564,0.16,0.4915,3.7489,0.6742,2.5134,4.8277,2.2237,3.7489,,,,
2011,American International Group,Bank,44060,65105,18692,19810,11.01,15225,102393,-81,36448,-36926,0.18,0.7349,18.4222,3.4107,10.6183,30.4278,-121.5022,18.4222,,,,
2010,American International Group,Bank,7790,72829,16787,2046,14.98,21166,113239,16597,-9912,-9261,0.13,0.7548,32.1262,1.9393,6.6699,2.8093,-15.8715,11.7045,,,,
2009,American International Group,Bank,4040,75447,18614,-12244,-90.48,27765,98076,18584,5778,-28997,0.1,1.1552,-45.3061,-1.5123,-6.0641,-16.2286,137.3287,-13.9507,,,,
2022,PCG,Manufacturing,41280,21680,16824,1800,0.84,5693,23075,3721,-10214,7133,0.8117,2.2563,7.8613,1.5289,2.5615,8.3026,-0.016,7.8613,,,,
2021,PCG,Manufacturing,32200,20642,16261,-102,-0.05,5286,21223,2262,-6905,4323,0.6356,2.1152,-0.4146,-0.0852,-0.148,-0.4941,18.6025,-0.4146,,,,
2020,PCG,Manufacturing,24100,18469,14571,-1318,-1.05,5223,21253,-19130,-7748,25928,0.707,1.9227,-6.1356,-1.3326,-2.2275,-7.1363,-18.5013,-6.1356,,,,
2019,PCG,Manufacturing,24730,17129,13300,-7656,-14.5,-6860,5388,4816,-6378,1464,1.3321,0,-141.8337,-8.9699,-141.8337,-44.6961,0.5729,-141.8337,,,,
2018,PCG,Manufacturing,5750,16759,12260,-6851,-13.25,-6664,12903,4752,-6564,3031,0.2205,1.7046,-52.9877,-8.8798,-52.9877,-40.8795,-4.0631,-52.9877,,,,
2017,PCG,Manufacturing,12320,17135,12080,1646,3.21,5759,19472,5977,-5650,-55,0.881,0.9824,8.5251,2.4407,4.4594,9.6061,3.2498,8.5251,,,,
2016,PCG,Manufacturing,23060,17666,12286,1393,2.78,4835,18192,4409,-5753,1171,0.8149,1.0134,7.7342,2.0511,4.0887,7.8852,0.2656,7.7342,,,,
2015,PCG,Manufacturing,30730,16833,11071,874,1.79,4120,16828,3780,-5211,1403,0.9136,1.0164,5.2769,1.4043,2.7112,5.1922,-0.4285,5.2769,,,,
2014,PCG,Manufacturing,26090,17090,10521,1436,3.06,4883,16000,3690,-4714,879,1.0792,0.9802,9.0625,2.4116,4.6699,8.4026,1.5681,9.0625,,,,
2013,PCG,Manufacturing,25290,15598,9614,814,1.83,3839,14594,3427,-5107,1575,0.7977,1.0127,5.6736,1.4891,3.0317,5.2186,-4.6071,5.6736,,,,
2012,PCG,Manufacturing,18100,15040,10017,816,1.92,3965,13326,4882,-4526,-468,0.8186,1.0062,6.2284,1.5825,3.2117,5.4255,1.3509,6.2284,,,,
2011,PCG,Manufacturing,17140,14956,9623,844,2.1,4157,12353,3739,-3986,469,0.8362,1.1241,6.9457,1.7246,3.5574,5.6432,0.7766,6.9457,,,,
2010,PCG,Manufacturing,16730,13841,8652,1099,2.82,4213,11534,3206,-3857,415,0.7713,1.1613,9.6497,2.4183,4.8681,7.9402,0.8604,9.6497,,,,
2009,PCG,Manufacturing,18760,13399,8397,1220,3.2,4051,10585,3039,-3336,605,0.8303,1.2063,11.658,2.8734,5.6624,9.1052,-2.3808,11.658,,,,
2018,SHLDQ,Finance,40,16702,3527,-383,-3.57,-52,-3723,-1842,1894,-2,0.7756,-1.1099,10.2874,-5.274,25.9837,-2.2931,3.0663,7.4225,,,,
2017,SHLDQ,Finance,370,22138,4686,-2221,-20.78,-1610,-3824,-1381,244,1185,1.0673,-1.0887,58.0805,-23.7236,884.8605,-10.0325,-13.9382,39.5618,,,,
2016,SHLDQ,Finance,1110,25146,5810,-1129,-10.59,-570,-1956,-2167,2519,-364,1.1116,-1.5215,57.6687,-9.9497,-742.1052,-4.4898,14.9014,27.2859,,,,
2015,SHLDQ,Finance,2190,31198,7149,-1682,-15.82,-889,-945,-1387,327,285,1.0479,-3.9958,191.5344,-13.7277,-84.5005,-5.3914,-7.424,54.6663,,,,
2014,SHLDQ,Finance,3510,36188,8755,-1365,-12.87,-195,2183,-1109,664,902,1.0946,1.9464,-51.1223,-6.1114,-22.2444,-3.772,-2.7683,106.6922,,,,
2013,SHLDQ,Finance,4900,39854,10514,-930,-8.78,-8,3172,-303,191,-27,1.1011,0.9836,-33.2283,-5.4498,-20.6061,-2.3335,4.5387,1197.727,,,,
2012,SHLDQ,Finance,4470,41567,10601,-3140,-29.4,-648,4341,-275,-309,-28,1.112,0.8047,-71.8728,-14.5924,-48.5301,-7.5541,-3.5464,-554.1741,,,,
2011,SHLDQ,Finance,3390,42664,11664,133,1.19,1306,8614,123,-406,-95,1.3375,0.3707,1.6137,0.5706,1.2685,0.3117,-12.4078,3.2868,,,,
2010,SHLDQ,Finance,8220,43360,11986,235,1.99,1561,9435,1507,-172,-951,1.3018,0.2655,2.9677,1.1287,2.515,0.542,5.4337,5.7911,,,,
2009,SHLDQ,Finance,8980,46770,12652,53,0.42,1283,9699,992,-637,-643,1.3412,0.301,1.0207,0.3907,0.8368,0.1133,4.5748,1.9705,,,,
2022,MCD,FOOD,186390,23182.6,13207.2,6177.4,8.33,11241.6,-6003.4,7386.7,-2678.1,-6580.2,1.4266,-5.9805,-102.8983,12.2481,20.6601,26.6467,-2.1323,-69.3794,,,,
2021,MCD,FOOD,193020,23222.9,12580.2,7545.2,10.04,12224.1,-4601,9141.5,-2165.7,-5595.6,1.7782,-7.7424,-163.9903,14.0104,24.3223,32.4903,3.3857,-102.19,,,,
2020,MCD,FOOD,200310,19207.8,9752.101,4730.5,6.31,9075.4,-7824.9,6265.2,-1545.8,-2249,1.01,-4.7848,-60.4545,8.9888,17.2823,24.628,-1.4852,-44.6358,,,,
2019,MCD,FOOD,159890,21364.4,11179.4,6025.4,7.88,10687.7,-8210.3,8122.1,-3071.1,-4994.8,0.9826,-4.1627,-73.3883,12.6822,23.2571,28.203,2.1046,-55.3414,,,,
2018,MCD,FOOD,148820,21257.9,10832.6,5924.3,7.54,10304.6,-6258.4,6966.7,-2455.1,-5949.6,1.3631,-4.9654,-94.6616,18.0557,23.872,27.8687,0.8436,-68.9682,,,,
2017,MCD,FOOD,136890,22820.4,10620.8,5192.3,6.37,10916.1,-3268,5551.2,562,-5310.8,1.8429,-9.0381,-158.8832,15.3602,19.7663,22.7529,-0.2793,-91.9365,,,,
2016,MCD,FOOD,137210,24621.9,10204.7,4686.5,5.44,9261.002,-2204.3,6059.6,-981.6,-11262.4,1.398,-11.775,-212.6069,15.1061,19.7958,19.0339,-0.21,-103.2087,,,,
2015,MCD,FOOD,101080,25413,9789.2,4529.3,4.8,8701.2,7087.9,6539.1,-1420,735.3,3.2684,3.4033,63.9019,11.9385,14.5123,17.8228,0.9354,99.0748,,,,
2014,MCD,FOOD,108480,27441.3,10455.7,4757.8,4.82,9593.701,12853.4,6730.3,-2304.9,-4618.3,1.5232,1.162,37.0159,13.9006,17.1211,17.3381,0.0221,47.0227,,,,
2013,MCD,FOOD,91190,28105.7,10902.7,5585.9,5.55,10349.4,16009.7,7120.7,-2673.8,-4043,1.5931,0.8826,34.8907,15.2511,18.5335,19.8746,0.4311,42.5204,,,,
2012,MCD,FOOD,96550,27567,10816.3,5464.8,5.36,10093.1,15293.6,6966.1,-3167.3,-3849.8,1.4464,0.8914,35.7326,15.4432,18.8923,19.8237,-0.3911,43.7548,,,,
2011,MCD,FOOD,88560,27006,10686.6,5503.1,5.27,9944.701,14390.2,7150.1,-2570.9,-4533,1.2547,0.8687,38.242,16.6812,20.7476,20.3773,0.3369,46.8868,,,,
2010,MCD,FOOD,102660,24074.6,9637.3,4946.3,4.58,8749.3,14634.2,6341.6,-2056,-3728.7,1.4937,0.7862,33.7996,15.4692,18.9287,20.5457,0.463,41.0546,,,,
2009,MCD,FOOD,81100,22744.7,8791.8,4551,4.11,8057.2,14033.9,5751,-1655.3,-4421,1.1431,0.7538,32.4286,15.0571,18.5044,20.0091,3.4305,39.2034,,,,
2022,BCS,BANK,32530,30868.08,30868.08,6212.949,1.4744,1,85667.7,37392.72,-26807.33,860.8824,1.76,7.1602,8.624,0.3946,1.284,21.162,-6.5477,9.7884,,,,
2021,BCS,BANK,43600,30169.69,30169.69,8766.263,2.0131,1,96547.15,67268.52,5871.677,147.1357,1.44,6.3396,10.2918,0.522,1.6696,28.2167,-1.4283,11.6267,,,,
2020,BCS,BANK,34660,27947.54,27947.54,1959.384,0.4416,1,85876.48,73836.42,-23594.78,3507.888,1.43,6.0327,3.6796,0.1824,0.602,9.0147,20.4341,4.1759,,,,
2019,BCS,BANK,40780,27621.9,27621.9,4180.571,0.72,1,83841.26,-15699.49,-16377.52,881.061,1.51,5.3348,5.1081,0.2942,0.9201,16.6024,-6.2895,5.8289,,,,
2018,BCS,BANK,31680,28212.33,28212.33,1860.711,0.4912,1,85132.21,11351.14,903.6596,-9059.288,1.27,5.8975,3.7191,0.2093,0.6186,7.0877,-15.5712,4.2504,,,,
2017,BCS,BANK,45790,27162.75,27162.75,-2477.073,-0.573,1,85081.42,78244.34,4513.377,1238.537,1.21,5.2797,1.9707,0.1148,0.3862,-10.2561,14.5974,2.2367,,,,
2016,BCS,BANK,46210,29072.54,29072.54,2373.13,0.5584,1,96720.98,15295.92,49749,-1784.93,1.09,3.5002,3.1346,0.1844,0.8387,9.1781,-2.4382,3.5151,,,,
2015,BCS,BANK,53450,38919.16,38919.16,-495.396,-0.1162,1,100706.1,24659.71,-12895.59,-674.289,1.14,3.6646,0.9459,0.0556,0.251,-1.3882,9.9996,1.0808,,,,
2014,BCS,BANK,60470,41677.15,41677.15,-197.7716,-0.046,1,108705.4,-17207.81,17560.51,-5039.89,1.12,5.0612,1.2811,0.0622,0.3671,-0.519,6.6557,1.4625,,,,
2013,BCS,BANK,55490,43712.69,43712.69,846.5568,0.232,1,100067.4,-39392.27,-35434.89,9247.968,1.12,6.6208,2.0282,0.0988,0.547,2.1758,-3.8585,2.3052,,,,
2012,BCS,BANK,52820,46036.06,46036.06,-1650.089,-0.539,1,99793.14,-21741.23,-11252.63,-4504.854,1.19,7.688,-0.3749,-0.0158,-0.0829,-4.0909,-21.998,-0.4288,,,,
2011,BCS,BANK,33470,48866.82,48866.82,6338.98,1.54,1,104600.5,46654.34,-3067.61,-9563.82,0.67,7.6045,4.6122,0.1923,1.368,12.2352,6.1199,5.2432,,,,
2010,BCS,BANK,47130,49030.07,49030.07,7034.11,1.84,1,96275.73,28894.16,-8701.03,245.86,0.76,9.3328,6.0555,0.2531,1.5241,14.4688,-12.8733,7.0387,,,,
2009,BCS,BANK,36840,45992.04,45992.04,5497.87,5.12,1,91570.7,65523.51,18026.64,-1035.05,1.67,8.5152,19.5283,0.8282,5.1862,12.0558,21.5535,22.9851,,,,
2023,NVIDIA,ELEC,1000350,26974,15356,4368,1.74,5768,22101,5641,7375,-11617,3.5156,0.4956,19.7638,10.6066,13.7341,16.1934,-1.689,27.2099,,,,
2022,NVIDIA,ELEC,359500,26914,17475,9752,3.85,11215,26612,9108,-9830,1865,6.6503,0.4113,36.6451,22.0698,25.9652,36.2339,1.3378,48.946,,,,
2021,NVIDIA,ELEC,735860,16675,10396,4332,1.73,5630,16893,5822,-19675,3804,4.0904,0.4122,25.6438,15.0464,18.9526,25.979,0.1419,43.4809,,,,
2020,NVIDIA,ELEC,323240,10918,6768,2796,1.13,3227,12204,4761,6145,-792,7.6738,0.1631,22.9105,16.1479,19.6971,25.6091,0.471,24.2351,,,,
2019,NVIDIA,ELEC,144000,11716,7171,4141,1.6575,4066,9342,3743,-4097,-2866,7.9436,0.2128,44.3267,31.1541,36.549,35.3448,0.1057,47.7129,,,,
2018,NVIDIA,ELEC,81440,9714,5822,3047,1.205,3409,7471,3502,1278,-2544,8.0269,0.2677,40.7844,27.1061,32.2229,31.3671,0.5725,44.8022,,,,
2017,NVIDIA,ELEC,117260,6910,4063,1666,0.6425,2121,5762,1672,-793,291,4.774,0.4877,28.9136,16.9292,21.4249,24.11,0.0975,33.0556,,,,
2016,NVIDIA,ELEC,57530,5010,2811,614,0.27,973,4469,1175,-400,-676,2.5746,0.3379,13.7391,8.3311,13.4472,12.2555,0.124,16.6621,,,,
2015,NVIDIA,ELEC,17730,4682,2599,631,0.28,1007,4418,906,-727,-834,6.3761,0.3164,14.2825,8.7627,10.8494,13.4772,0.1033,17.6356,,,,
2014,NVIDIA,ELEC,10900,4130,2268,440,0.185,740,4456.398,835,-806,390,5.949,0.3083,9.8734,6.0682,7.5468,10.6538,-0.0022,12.5099,,,,
2013,NVIDIA,ELEC,9110,4280.159,2226.343,562.536,0.225,874.4742,4827.703,824.172,-743.992,-15.27,4.8916,0.0039,11.6523,8.7728,11.6066,13.1429,-0.0561,14.5195,,,,
2012,NVIDIA,ELEC,7660,3997.93,2056.517,581.09,0.235,852.5038,4145.724,909.156,-1143.364,236.723,4.1995,0.0052,14.0166,10.4646,13.9445,14.5348,0.0671,18.2816,,,,
2011,NVIDIA,ELEC,8460,3543.309,1409.09,253.146,0.1075,442.7361,3181.462,675.797,-649.678,192.021,3.4232,0.0074,7.9569,5.6314,7.8988,7.1443,0.0588,10.034,,,,
2010,NVIDIA,ELEC,8950,3326.445,1176.923,-67.987,-0.03,97.7189,2665.14,487.807,-519.333,61.059,3.1628,0.0092,-2.551,-1.8959,-2.5278,-2.0438,0.2588,-3.1261,,,,
2009,NVIDIA,ELEC,10370,3424.859,1174.269,-30.041,-0.0125,114.3228,2394.652,249.36,-209.367,-349.274,2.7845,0.0107,-1.2545,-0.8966,-1.2412,-0.8771,-0.0722,-1.5999,,,,
2022,Intel,ELEC,109080,63054,26866,8014,1.94,15369,103286,15433,-10477,1361,1.5676,0.4071,7.7619,4.4025,5.687,12.7097,-4.564,11.506,,,,
2021,Intel,ELEC,209450,79024,43815,19868,4.86,31248,95391,29456,-24449,-6045,2.1323,0.3994,20.828,11.7977,15.4134,25.1417,-2.8278,32.4864,,,,
2020,Intel,ELEC,104160,77867,43612,20899,4.94,35917,81038,35864,-21524,-12669,1.9087,0.4492,25.7891,13.6514,18.1833,26.8394,1.2739,46.4,,,,
2019,Intel,ELEC,260350,71965,42140,21048,4.71,32861,77504,33145,-14405,-17565,1.4002,0.3742,27.1573,15.4171,20.4723,29.2476,0.7539,52.0977,,,,
2018,Intel,ELEC,214190,70848,43737,21053,4.48,32401,74563,29432,-11239,-18607,1.7314,0.3535,28.2352,16.4524,21.1246,29.7157,0.8946,55.0924,,,,
2017,Intel,ELEC,216030,62761,39098,9601,1.99,26179,69019,22110,-15762,-8475,1.6934,0.3885,13.9107,7.7899,10.2078,15.2977,-0.3622,30.1113,,,,
2016,Intel,ELEC,171880,59387,36233,10316,2.12,20923,66226,21808,-25817,-5739,1.749,0.3818,15.577,9.1029,11.8745,17.3708,0.1101,24.1972,,,,
2015,Intel,ELEC,162570,55355,34679,11420,2.33,22713,61085,19018,-8183,1912,2.4492,0.3711,18.6953,11.2558,14.0777,20.6305,0.3492,24.9236,,,,
2014,Intel,ELEC,175460,55870,35609,11704,2.31,23896,55865,20418,-9905,-13611,1.7319,0.2444,20.9505,12.7356,17.231,20.9486,0.0651,28.8574,,,,
2013,Intel,ELEC,129020,52708,31521,9620,1.89,20323,58256,20776,-18073,-5498,2.3647,0.2308,16.5133,10.416,13.4694,18.2515,0.452,22.5859,,,,
2012,Intel,ELEC,102610,53341,33151,11005,2.13,22160,51203,18884,-14060,-1408,2.4312,0.2626,21.4929,13.0467,17.1047,20.6314,-0.3622,31.2128,,,,
2011,Intel,ELEC,123480,53999,33757,12942,2.39,23541,45911,20963,-10301,-11100,2.151,0.1597,28.1893,18.1977,24.4212,23.9671,-0.1314,42.5864,,,,
2010,Intel,ELEC,117310,43623,28491,11464,2.01,20226,49430,16692,-10539,-4642,3.3892,0.0428,23.1924,18.1433,22.2572,26.2797,0.8374,26.0315,,,,
2009,Intel,ELEC,112650,35127,19561,4369,0.77,10763,41704,11170,-7965,-2568,2.7871,0.0533,10.4762,8.2286,9.9856,12.4377,1.1789,11.7185,,,,
2022,Amazon,LOGI,856940,513983,225152,-2722,-0.27,54169,146043,46752,-37601,9718,0.9446,0.4598,-1.8638,-0.5883,-1.2768,-0.5296,-0.2546,-2.1645,,,,
2021,Amazon,LOGI,1691000,469822,197478,33364,3.24,59312,138245,46327,-58154,6291,1.1358,0.3526,24.134,7.9334,17.8428,7.1014,-3.9226,27.153,,,,
